county,percent_pre1950_housing,percent_pre1978_housing,population,total_n,total_percent,all_less5_total,capillary_greater5_total,venous_5to14_total,venous_greater15_total,venous_greater5_total,venous_greater5_percent,all_greater5_total,all_greater5_percent
Isabella,16.1,48.2,1337,453,33.9,447,NA,NA,0,NA,NA,6,1.3
Jackson,30.2,67.9,3412,2192,64.2,2080,79,NA,NA,33,1.5,112,5.1
Kalamazoo,22,62.6,6234,2082,33.4,2009,54,NA,NA,19,0.9,73,3.5
Kalkaska,11.2,49.3,367,101,27.5,101,0,0,0,0,0,0,0
Kent,23.1,59.2,17888,7767,43.4,7283,371,100,13,113,1.5,484,6.2
Keweenaw,44.5,77.6,29,19,65.5,19,0,0,0,0,0,0,0
Lake,11.3,52.6,144,78,54.2,78,0,0,0,0,0,0,0
Lapeer,19.6,52.9,1672,647,38.7,629,NA,0,NA,NA,NA,18,2.8
Leelanau,16,46.5,313,164,52.4,157,NA,NA,0,NA,NA,7,4.3
Lenawee,30.9,67.2,2255,641,28.4,577,44,NA,NA,20,3.1,64,10
Livingston,11.4,39,3689,751,20.4,744,NA,NA,0,NA,NA,7,0.9
Luce,24.8,64.3,102,68,66.7,68,0,0,0,0,0,0,0
Mackinac,23.6,58.6,182,109,59.9,108,0,NA,0,NA,NA,NA,NA
Macomb,9.1,59.1,18754,6773,36.1,6690,60,NA,NA,23,0.3,83,1.2
Manistee,27.4,63.9,376,236,62.8,230,NA,0,NA,NA,NA,6,2.5
Marquette,29,69.4,1241,381,30.7,374,NA,NA,0,NA,NA,7,1.8
Mason,27.4,64.6,591,131,22.2,128,NA,NA,0,NA,NA,NA,NA
Mecosta,17.6,53.4,840,233,27.7,231,NA,0,0,0,0,NA,NA
Menominee,31.1,73.2,436,208,47.7,197,NA,NA,NA,NA,NA,11,5.3
Midland,14.2,58.7,1679,359,21.4,354,NA,NA,0,NA,NA,NA,NA
Missaukee,17.4,56.2,351,105,29.9,105,0,0,0,0,0,0,0
Monroe,21.9,59,3208,990,30.9,976,8,NA,NA,6,0.6,14,1.4
Montcalm,25,57.7,1411,539,38.2,526,NA,NA,0,NA,NA,13,2.4
Montmorency,13.5,58.6,127,48,37.8,48,0,0,0,0,0,0,0
Muskegon,26.7,66.2,4150,1551,37.4,1480,35,29,7,36,2.3,71,4.6
Newaygo,17.9,53.6,1097,367,33.5,361,NA,NA,0,NA,NA,6,1.6
Oakland,14.1,60.5,27162,8597,31.7,8469,61,59,8,67,0.8,128,1.5
Oceana,23.9,57.8,604,218,36.1,215,NA,NA,0,NA,NA,NA,NA
Ogemaw,15.5,61.6,373,148,39.7,148,0,0,0,0,0,0,0
Ontonagon,39.2,73.2,59,35,59.3,34,0,NA,0,NA,NA,NA,NA
Osceola,18.7,56.6,522,218,41.8,216,NA,0,0,0,0,NA,NA
Oscoda,13,62.1,135,61,45.2,61,0,0,0,0,0,0,0
Otsego,11.2,50.3,488,165,33.8,165,0,0,0,0,0,0,0
Ottawa,14.8,45.3,7054,2369,33.6,2321,40,8,0,8,0.3,48,2
Presque Isle,22,66.3,184,83,45.1,82,NA,0,0,0,0,NA,NA
Roscommon,9.8,58.7,362,162,44.8,161,NA,0,0,0,0,NA,NA
Saginaw,26.3,73.1,4490,2495,55.6,2423,59,NA,NA,13,0.5,72,2.9
Saint Clair,25.6,59.4,3146,1422,45.2,1359,54,NA,NA,9,0.6,63,4.4
Saint Joseph,24.2,65.1,1568,603,38.5,576,NA,NA,0,NA,NA,27,4.5
Sanilac,30.5,64.6,871,215,24.7,209,NA,NA,0,NA,NA,6,2.8
Schoolcraft,26.8,63.3,139,73,52.5,72,NA,0,0,0,0,NA,NA
Shiawassee,30.4,68.2,1421,797,56.1,752,39,6,0,6,0.8,45,5.6
Tuscola,30,67.4,1107,583,52.7,578,NA,NA,0,NA,NA,NA,NA
Van Buren,22.7,58.1,1872,449,24,427,12,10,0,10,2.2,22,4.9
Washtenaw,16.8,56.5,7337,2000,27.3,1968,11,21,0,21,1.1,32,1.6
Wayne (excluding Detroit),21.7,74.5,NA,9868,NA,9692,64,NA,NA,112,1.1,176,1.8
Wexford,21.4,53.7,814,260,31.9,257,NA,NA,0,NA,NA,NA,NA
City of Detroit,57.9,93.2,NA,9075,NA,8258,155,588,74,662,7.3,817,9
MICHIGAN,23.4,64.8,228094,86437,37.9,83441,1558,1277,161,1438,1.7,2996,3.5
