County,percent_pre1950_housing,percent_pre1978_housing,children_one_and_two,total_n,percent_tested,all_less5_total,all_5to9_total,capilary_greater10_total,capilary_10to19_total,capilary_20to44_total,capilary_greater45_total,all_greater5_total,all_greater10_total,all_greater5_percent,all_greater_10_percent
Lapeer,20.4,52.9,1833,735,40.1,703,31,1,0,0,0,32,0,4.4,0
Leelanau,17.9,46.5,354,114,32.2,109,5,0,0,0,0,5,0,4.4,0
Lenawee,33.6,67.2,2272,959,42.2,908,41,7,2,1,0,51,3,5.3,0.3
Livingston,11.4,39,3928,826,21,817,8,0,0,1,0,9,1,1.1,0.1
Luce,23.8,64.3,123,69,56.1,68,1,0,0,0,0,1,0,1.4,0
Mackinac,23.4,58.6,179,88,49.2,83,5,0,0,0,0,5,0,5.7,0
Macomb,9.3,59.1,19390,6319,32.6,6226,83,3,5,2,2,95,9,1.5,0.1
Manistee,28.8,63.9,428,216,50.5,202,11,1,2,0,0,14,2,6.5,0.9
Marquette,27.9,69.4,1388,432,31.1,413,16,1,2,0,0,19,2,4.4,0.5
Mason,32.1,64.6,633,116,18.3,111,6,0,0,0,0,6,0,5.2,0
Mecosta,18.2,53.4,882,269,30.5,265,4,0,0,0,0,4,0,1.5,0
Menominee,35.4,73.2,454,206,45.4,197,8,0,1,0,0,9,1,4.4,0.5
Midland,15.2,58.7,1842,291,15.8,287,4,0,0,0,0,4,0,1.4,0
Missaukee,21.2,56.2,362,102,28.2,102,0,0,0,0,0,0,0,0,0
Monroe,23,59,3462,1252,36.2,1225,26,1,0,0,0,27,0,2.2,0
Montcalm,27.3,57.7,1540,422,27.4,415,7,0,0,0,0,7,0,1.7,0
Montmorency,18.1,58.6,138,64,46.4,64,0,0,0,0,0,0,0,0,0
Muskegon,25.8,66.2,4519,1708,37.8,1613,79,5,9,2,0,95,11,5.6,0.6
Newaygo,19.3,53.6,1213,358,29.5,355,3,0,0,0,0,3,0,0.8,0
Oakland,14.7,60.5,27362,7686,28.1,7551,121,3,9,3,1,137,13,1.8,0.2
Oceana,25.8,57.8,702,252,35.9,245,6,0,1,0,0,7,1,2.8,0.4
Ogemaw,74,61.6,408,76,18.6,74,2,0,0,0,0,2,0,2.6,0
Ontonagon,39.1,73.2,90,37,41.1,37,0,0,0,0,0,0,0,0,0
Osceola,22.6,56.6,574,259,45.1,252,4,0,1,1,1,7,3,2.7,1.2
Oscoda,17.8,62.1,177,33,18.6,33,0,0,0,0,0,0,0,0,0
Otsego,12.2,50.3,543,187,34.4,187,0,0,0,0,0,0,0,0,0
Ottawa,15.7,45.3,7100,2510,35.4,2435,68,4,3,0,0,75,3,3,0.1
Presque Isle,21.1,66.3,206,86,41.7,86,0,0,0,0,0,0,0,0,0
Roscommon,13.1,58.7,384,180,46.9,176,4,0,0,0,0,4,0,2.2,0
Saginaw,28.1,73.1,4690,2784,59.4,2691,78,6,8,1,0,93,9,3.3,0.3
St Clair,25.8,59.4,3686,1223,33.2,1148,69,4,2,0,0,75,2,6.1,0.2
St Joseph,27.5,65.1,1696,645,38,617,24,4,0,0,0,28,0,4.3,0
Sanilac,30.7,64.6,997,267,26.8,256,10,0,1,0,0,11,1,4.1,0.4
Schoolcraft,25.5,63.3,152,76,50,76,0,0,0,0,0,0,0,0,0
Shiawassee,33.9,68.2,1547,758,49,725,28,1,2,2,0,33,4,4.4,0.5
Tuscola,30.2,67.4,1240,585,47.2,571,14,0,0,0,0,14,0,2.4,0
Van Buren,23.3,58.1,1959,525,26.8,513,9,0,3,0,0,12,3,2.3,0.6
Washtenaw,17.2,56.5,7616,1813,23.8,1781,29,1,1,1,0,32,2,1.8,0.1
Wayne ex Det,22.6,74.5,27275,10469,38.4,10195,230,14,25,8,0,277,33,2.6,0.3
Wexford,23,53.7,863,255,29.5,247,7,1,0,0,0,8,0,3.1,0
"Detroit, City of",62.2,93.2,20246,10520,52,9431,830,33,164,44,6,1077,214,10.2,2
MICHIGAN,24.7,64.8,237514,88851,37.4,85256,3022,151,327,83,12,3595,422,4,0.5
