Lake,12.5,52.6,192,87,45.3,86,<6,<6,<6,<6,---,<6,---
Lapeer,20.4,52.9,"1,780",705,39.6,680,23,<6,<6,<6,---,25,3.5
Leelanau,17.9,46.5,350,169,48.3,165,<6,<6,<6,<6,---,<6,---
Lenawee,33.6,67.2,"2,248",688,30.6,613,57,15,<6,18,2.6,75,10.9
Livingston,11.4,39,"3,871",750,19.4,741,<6,<6,<6,<6,---,9,1.2
Luce,23.8,64.3,121,79,65.3,79,<6,<6,<6,<6,---,<6,---
Mackinac,23.4,58.6,193,113,58.5,112,<6,<6,<6,<6,---,<6,---
Macomb,9.3,59.1,"19,051","6,156",32.3,"6,075",52,25,<6,29,0.5,81,1.3
Manistee,28.8,63.9,411,247,60.1,235,9,<6,<6,<6,---,12,4.9
Marquette,27.9,69.4,"1,364",414,30.4,402,<6,7,<6,7,1.7,12,2.9
Mason,32.1,64.6,620,111,17.9,106,<6,<6,<6,<6,---,<6,---
Mecosta,18.2,53.4,851,279,32.8,277,<6,<6,<6,<6,---,<6,---
Menominee,35.4,73.2,442,219,49.5,203,12,<6,<6,<6,---,16,7.3
Midland,15.2,58.7,"1,842",297,16.1,295,<6,<6,<6,<6,---,<6,---
Missaukee,21.2,56.2,359,113,31.5,112,<6,<6,<6,<6,---,<6,---
Monroe,23,59,"3,378","1,158",34.3,"1,143",13,<6,<6,<6,---,15,1.3
Montcalm,27.3,57.7,"1,493",494,33.1,484,<6,<6,<6,6,1.2,10,2
Montmorency,18.1,58.6,131,64,48.9,63,<6,<6,<6,<6,---,<6,---
Muskegon,25.8,66.2,"4,384","1,652",37.7,"1,546",53,47,6,53,3.2,106,6.4
Newaygo,19.3,53.6,"1,172",395,33.7,388,7,<6,<6,<6,---,7,1.8
Oakland,14.7,60.5,"27,292","7,882",28.9,"7,759",68,47,8,55,0.7,123,1.6
Oceana,25.8,57.8,685,276,40.3,271,<6,<6,<6,<6,---,<6,---
Ogemaw,12.8,61.6,413,81,19.6,80,<6,<6,<6,<6,---,<6,---
Ontonagon,39.1,73.2,82,31,37.8,29,<6,<6,<6,<6,---,<6,---
Osceola,22.6,56.6,564,260,46.1,251,<6,<6,<6,6,2.3,9,3.5
Oscoda,17.8,62.1,168,18,10.7,16,<6,<6,<6,<6,---,<6,---
Otsego,12.2,50.3,540,197,36.5,197,<6,<6,<6,<6,---,<6,---
Ottawa,15.7,45.3,"7,046","2,576",36.6,"2,507",56,13,<6,13,0.5,69,2.7
Presque Isle,21.1,66.3,193,89,46.1,87,<6,<6,<6,<6,---,<6,---
Roscommon,13.1,58.7,379,172,45.4,172,<6,<6,<6,<6,---,<6,---
Saginaw,28.1,73.1,"4,623","2,756",59.6,"2,670",59,22,<6,27,1,86,3.1
Saint Clair,25.8,59.4,"3,574","1,333",37.3,"1,296",27,8,<6,10,0.8,37,2.8
Saint Joseph,27.5,65.1,"1,684",691,41,665,21,<6,<6,<6,---,26,3.8
Sanilac,30.7,64.6,949,291,30.7,286,<6,<6,<6,<6,---,<6,---
Schoolcraft,25.5,63.3,151,80,53,80,<6,<6,<6,<6,---,<6,---
Shiawassee,33.9,68.2,"1,503",749,49.8,718,18,13,<6,13,1.7,31,4.1
Tuscola,30.2,67.4,"1,174",650,55.4,639,10,<6,<6,<6,---,11,1.7
Van Buren,23.3,58.1,"1,924",507,26.4,490,7,8,<6,10,2,17,3.4
Washtenaw,17.2,56.5,"7,560","1,834",24.3,"1,809",12,10,<6,13,0.7,25,1.4
Wayne ex Det,22.6,74.5,"26,966","9,769",36.2,"9,539",107,118,7,125,1.3,232,2.4
Wexford,23,53.7,865,312,36.1,309,<6,<6,<6,<6,---,<6,---
"Detroit, City of",62.2,93.2,"20,048","9,641",48.1,"8,674",185,692,88,780,8.1,965,10
MICHIGAN,24.7,64.8,"234,103","87,917",37.6,"84,776","1,608","1,352",181,"1,533",1.7,"3,141",3.6
