,"Children Age 1-2 yrs, Insured by Medicare",,,,,,,"Children Ages 3-5, Insured by Medicare",,,,
Houghton,343,253,73.8,18,0,7.1,0,47,1,1,4.3,2.1
Huron,317,181,57.1,11,1,6.6,0.6,127,6,0,4.7,0
Ingham,"3,006","2,254",75,111,3,5.1,0.1,1469,65,2,4.6,0.1
Ionia,690,518,75.1,9,0,1.7,0,135,2,1,2.2,0.7
Iosco,314,93,29.6,0,0,0,0,35,3,0,8.6,0
Iron,110,96,87.3,3,0,3.1,0,28,0,0,0,0
Isabella,546,300,54.9,2,0,0.7,0,134,0,0,0,0
Jackson,"1,838","1,414",76.9,101,11,7.9,0.8,493,25,2,5.5,0.4
Kalamazoo,"2,676","1,477",55.2,65,4,4.7,0.3,458,15,5,4.4,1.1
Kalkaska,202,105,52,2,0,1.9,0,24,1,0,4.2,0
Kent,"7,514","6,189",82.4,337,38,6.1,0.6,"1,001",79,9,8.8,0.9
Keweenaw,15,10,66.7,0,0,0,0,4,0,0,0,0
Lake,123,88,71.5,0,0,0,0,21,0,0,0,0
Lapeer,784,545,69.5,23,0,4.2,0,226,4,0,1.8,0
Leelanau,127,82,64.6,4,0,4.9,0,31,0,0,0,0
Lenawee,"1,058",683,64.6,34,2,5.3,0.3,283,24,1,8.8,0.4
Livingston,937,580,61.9,4,1,0.9,0.2,116,1,0,0.9,0
Luce,77,59,76.6,0,0,0,0,4,1,0,25,0
Mackinac,101,66,65.3,3,0,4.5,0,14,0,0,0,0
Macomb,"7,750","3,703",47.8,53,5,1.6,0.1,1813,22,8,1.7,0.4
Manistee,207,178,86,8,1,5.1,0.6,19,1,0,5.3,0
Marquette,528,346,65.5,12,2,4,0.6,59,1,1,3.4,1.7
Mason,325,97,29.8,5,0,5.2,0,54,8,0,14.8,0
Mecosta,466,219,47,3,0,1.4,0,55,1,0,1.8,0
Menominee,200,156,78,8,0,5.1,0,34,1,0,2.9,0
Midland,705,204,28.9,2,0,1,0,134,3,0,2.2,0
Missaukee,215,98,45.6,0,0,0,0,15,0,0,0,0
Monroe,"1,299",835,64.3,24,0,2.9,0,221,9,0,4.1,0
Montcalm,806,357,44.3,6,0,1.7,0,120,1,0,0.8,0
Montmorency,77,58,75.3,0,0,0,0,8,0,0,0,0
Muskegon,"2,564","1,230",48,75,10,6.9,0.8,953,40,3,4.5,0.3
Newaygo,683,279,40.8,3,0,1.1,0,35,0,0,0,0
Oakland,"7,944","3,975",50,77,8,2.1,0.2,2327,25,5,1.3,0.2
Oceana,441,231,52.4,4,1,2.2,0.4,190,1,1,1.1,0.5
Ogemaw,252,68,27,2,0,2.9,0,17,0,0,0,0
Ontonagon,40,31,77.5,0,0,0,0,10,0,0,0,0
Osceola,309,234,75.7,4,3,3,1.3,85,4,1,5.9,1.2
Oscoda,84,29,34.5,0,0,0,0,10,0,0,0,0
Otsego,303,167,55.1,0,0,0,0,110,1,0,0.9,0
Ottawa,"2,087","1,345",64.4,38,2,3,0.1,213,8,0,3.8,0
Presque Isle,106,70,66,0,0,0,0,15,0,0,0,0
Roscommon,245,174,71,4,0,2.3,0,32,0,0,0,0
Saginaw,"2,555","2,031",79.5,64,9,3.6,0.4,667,25,4,4.3,0.6
St Clair,"1,838","1,033",56.2,61,2,6.1,0.2,814,29,0,3.6,0
St Joseph,844,544,64.5,21,0,3.9,0,239,7,1,3.3,0.4
Sanilac,451,230,51,8,1,3.9,0.4,155,4,0,2.6,0
Schoolcraft,76,70,92.1,0,0,0,0,0,0,0,---,---
Shiawassee,763,574,75.2,25,3,4.9,0.5,260,9,1,3.8,0.4
Tuscola,623,447,71.7,13,0,2.9,0,226,6,0,2.7,0
Van Buren,"1,073",413,38.5,6,3,2.2,0.7,173,3,0,1.7,0
Washtenaw,"2,314","1,012",43.7,16,1,1.7,0.1,649,9,1,1.5,0.2
Wayne,"28,927","16,346",56.5,950,226,7.2,1.4,"16,504",767,144,5.5,0.9
Wexford,532,237,44.5,7,0,3,0,32,0,0,0,0
MICHIGAN,"109,358","64,178",58.7,"2,543",372,4.5,0.6,"35,175","1,319",199,4.3,0.6
