county,percent_pre1950_housing,percent_pre1978_housing,children_under_age6,total_n,total_percent,all_less5_total,capillary_greater5_total,venous_5to14_total,venuous_greater15_total,venous_greater5_total,venous_greater5_percent,all_greater5_total,all_greater5_percent
Kalkaska,13.2,49.3,1180,217,18.4,216,<6,<6,<6,<6,NA,<6,NA
Kent,24.8,59.2,52655,10115,19.2,9645,333,111,26,137,1.4,470,4.6
Keweenaw,46.9,77.6,115,25,21.7,23,<6,<6,<6,<6,NA,<6,NA
Lake,12.5,52.6,585,120,20.5,118,<6,<6,<6,<6,NA,<6,NA
Lapeer,20.4,52.9,5687,919,16.2,890,25,<6,<6,<6,NA,29,3.2
Leelanau,17.9,46.5,1111,239,21.5,234,<6,<6,<6,<6,NA,<6,NA
Lenawee,33.6,67.2,6911,1196,17.3,1074,94,24,<6,28,2.3,122,10.2
Livingston,11.4,39,12104,1026,8.5,1017,<6,<6,<6,<6,NA,9,0.9
Luce,23.8,64.3,370,88,23.8,88,<6,<6,<6,<6,NA,<6,NA
Mackinac,23.4,58.6,587,130,22.1,129,<6,<6,<6,<6,NA,<6,NA
Macomb,9.3,59.1,57878,9525,16.5,9397,79,40,9,49,0.5,128,1.3
Manistee,28.8,63.9,1307,284,21.7,271,10,<6,<6,<6,NA,13,4.6
Marquette,27.9,69.4,4029,471,11.7,458,<6,8,<6,8,1.7,13,2.8
Mason,32.1,64.6,1864,414,22.2,387,25,<6,<6,<6,NA,27,6.5
Mecosta,18.2,53.4,2520,316,12.5,314,<6,<6,<6,<6,NA,<6,NA
Menominee,35.4,73.2,1375,261,19,245,12,<6,<6,<6,NA,16,6.1
Midland,15.2,58.7,5685,477,8.4,472,<6,<6,<6,<6,NA,<6,NA
Missaukee,21.2,56.2,1111,133,12,132,<6,<6,<6,<6,NA,<6,NA
Monroe,23,59,10355,1571,15.2,1553,16,<6,<6,<6,NA,18,1.1
Montcalm,27.3,57.7,4527,748,16.5,735,6,6,<6,7,0.9,13,1.7
Montmorency,18.1,58.6,404,83,20.5,82,<6,<6,<6,<6,NA,<6,NA
Muskegon,25.8,66.2,13224,2572,19.4,2415,79,72,6,78,3,157,6.1
Newaygo,19.3,53.6,3581,447,12.5,440,7,<6,<6,<6,NA,7,1.6
Oakland,14.7,60.5,83501,14308,17.1,14102,102,91,13,104,0.7,206,1.4
Oceana,25.8,57.8,2091,516,24.7,506,<6,<6,<6,<6,NA,10,1.9
Ogemaw,12.8,61.6,1289,102,7.9,101,<6,<6,<6,<6,NA,<6,NA
Ontonagon,39.1,73.2,251,48,19.1,46,<6,<6,<6,<6,NA,<6,NA
Osceola,22.6,56.6,1723,334,19.4,324,<6,<6,<6,6,1.8,10,3
Oscoda,17.8,62.1,521,35,6.7,32,<6,<6,<6,<6,NA,<6,NA
Otsego,12.2,50.3,1641,325,19.8,324,<6,<6,<6,<6,NA,<6,NA
Ottawa,15.7,45.3,21390,3012,14.1,2931,64,17,<6,17,0.6,81,2.7
Presque Isle,21.1,66.3,597,111,18.6,109,<6,<6,<6,<6,NA,<6,NA
Roscommon,13.1,58.7,1156,218,18.9,218,<6,<6,<6,<6,NA,<6,NA
Saginaw,28.1,73.1,14029,3670,26.2,3548,84,32,6,38,1,122,3.3
Saint Clair,25.8,59.4,11046,2731,24.7,2655,53,20,<6,23,0.8,76,2.8
Saint Joseph,27.5,65.1,5125,1012,19.7,971,31,9,<6,10,1,41,4.1
Sanilac,30.7,64.6,2879,523,18.2,517,<6,<6,<6,<6,NA,6,1.1
Schoolcraft,25.5,63.3,471,99,21,98,<6,<6,<6,<6,NA,<6,NA
Shiawassee,33.9,68.2,4622,1169,25.3,1131,21,17,<6,17,1.5,38,3.3
Tuscola,30.2,67.4,3579,886,24.8,874,10,<6,<6,<6,NA,12,1.4
Van Buren,23.3,58.1,5884,862,14.6,832,10,18,<6,20,2.3,30,3.5
Washtenaw,17.2,56.5,22833,2604,11.4,2572,17,12,<6,15,0.6,32,1.2
Wayne ex Det,22.6,74.5,82002,18348,22.4,17939,176,218,15,233,1.3,409,2.2
Wexford,23,53.7,2582,362,14,359,<6,<6,<6,<6,NA,<6,NA
"Detroit, City of",62.2,93.2,59755,22842,38.2,20966,330,1397,149,1546,6.8,1876,8.2
MICHIGAN,24.7,64.8,710976,143123,20.1,138070,2331,2437,285,2722,1.9,5053,3.5
