Crawford,13.7,55.6,814,112,13.8,109,3,0,0,0,0,0,0,0,0,3,0,2.7,0
Delta,33.3,68,2411,428,17.8,409,17,0,1,0,1,0,0,0,0,19,2,4.4,0.5
Dickinson,38.9,71.7,1595,305,19.1,297,8,0,0,0,0,0,0,0,0,8,0,2.6,0
Eaton,20.4,56.4,7352,1168,15.9,1139,29,0,0,0,0,0,0,0,0,29,0,2.5,0
Emmet,23,48.3,2026,276,13.6,273,2,0,1,0,0,0,0,0,0,3,1,1.1,0.4
Genesee,19.9,68,33014,7136,21.6,6927,186,2,10,1,3,1,5,0,0,208,18,2.9,0.3
Gladwin,12.4,49.5,1488,227,15.3,224,3,0,0,0,0,0,0,0,0,3,0,1.3,0
Gogebic,50,76.7,899,202,22.5,197,5,0,0,0,0,0,0,0,0,5,0,2.5,0
Grand Traverse,14.7,43.5,5912,1066,18,1029,36,0,0,0,0,0,0,0,0,36,0,3.4,0
Gratiot,34.7,69.8,2817,518,18.4,510,8,0,0,0,0,0,0,0,0,8,0,1.5,0
Hillsdale,36.5,63.2,3412,689,20.2,655,32,2,0,0,0,0,0,0,0,34,0,4.9,0
Houghton,53.4,75.5,2559,481,18.8,460,20,0,0,0,0,0,0,0,0,20,0,4.2,0
Huron,31.8,68.9,1955,479,24.5,453,25,1,0,0,0,0,0,0,0,26,0,5.4,0
Ingham,24.9,68.2,19374,4750,24.5,4594,144,2,5,1,1,1,2,0,0,156,8,3.3,0.2
Ionia,35.8,63,4971,778,15.7,756,18,0,4,0,0,0,0,0,0,22,4,2.8,0.5
Iosco,12.7,65.6,1238,156,12.6,151,3,1,1,0,0,0,0,0,0,5,1,3.2,0.6
Iron,44.1,72.1,616,142,23.1,140,2,0,0,0,0,0,0,0,0,2,0,1.4,0
Isabella,16.3,48.2,4335,617,14.2,610,6,0,0,0,0,0,1,0,0,7,1,1.1,0.2
Jackson,33,67.9,11436,2784,24.3,2561,195,5,13,1,3,0,4,0,1,222,21,8,0.8
Kalamazoo,22.5,62.6,18813,3839,20.4,3638,177,6,11,1,3,1,2,0,0,201,16,5.2,0.4
Kalkaska,13.2,49.3,1243,207,16.7,205,1,1,0,0,0,0,0,0,0,2,0,1,0
Kent,24.8,59.2,52782,10853,20.6,10178,605,13,26,8,10,1,9,0,0,672,45,6.2,0.4
Keweenaw,46.9,77.6,119,24,20.2,23,1,0,0,0,0,0,0,0,0,1,0,4.2,0
Lake,12.5,52.6,632,95,15,92,3,0,0,0,0,0,0,0,0,3,0,3.2,0
Lapeer,20.4,52.9,5661,763,13.5,740,17,0,3,0,3,0,0,0,0,23,6,3,0.8
Leelanau,17.9,46.5,1129,199,17.6,196,3,0,0,0,0,0,0,0,0,3,0,1.5,0
Lenawee,33.6,67.2,6878,1846,26.8,1743,83,11,3,0,4,2,0,0,0,103,7,5.6,0.4
Livingston,11.4,39,12273,1067,8.7,1050,15,0,1,0,0,0,1,0,0,17,2,1.6,0.2
Luce,23.8,64.3,365,89,24.4,88,1,0,0,0,0,0,0,0,0,1,0,1.1,0
Mackinac,23.4,58.6,588,118,20.1,117,1,0,0,0,0,0,0,0,0,1,0,0.8,0
Macomb,9.3,59.1,59055,9891,16.7,9690,175,7,10,2,2,0,3,0,1,200,16,2,0.2
Manistee,28.8,63.9,1319,230,17.4,220,8,1,1,0,0,0,0,0,0,10,1,4.3,0.4
Marquette,27.9,69.4,4118,487,11.8,458,24,1,3,0,1,0,0,0,0,29,4,6,0.8
Mason,32.1,64.6,1939,326,16.8,297,28,1,0,0,0,0,0,0,0,29,0,8.9,0
Mecosta,18.2,53.4,2676,330,12.3,321,6,0,2,0,1,0,0,0,0,9,3,2.7,0.9
Menominee,35.4,73.2,1402,294,21,279,13,2,0,0,0,0,0,0,0,15,0,5.1,0
Midland,15.2,58.7,5704,537,9.4,527,8,1,1,0,0,0,0,0,0,10,1,1.9,0.2
Missaukee,21.2,56.2,1069,148,13.8,147,0,0,0,1,0,0,0,0,0,1,0,0.7,0
Monroe,23,59,10600,1910,18,1866,41,1,1,0,0,0,1,0,0,44,2,2.3,0.1
Montcalm,27.3,57.7,4690,665,14.2,648,15,1,1,0,0,0,0,0,0,17,1,2.6,0.2
Montmorency,18.1,58.6,445,88,19.8,87,1,0,0,0,0,0,0,0,0,1,0,1.1,0
Muskegon,25.8,66.2,13574,2729,20.1,2568,139,5,9,1,5,0,2,0,0,161,16,5.9,0.6
Newaygo,19.3,53.6,3651,521,14.3,507,14,0,0,0,0,0,0,0,0,14,0,2.7,0
Oakland,14.7,60.5,83246,13701,16.5,13447,224,6,16,0,4,0,4,0,0,254,24,1.9,0.2
Oceana,25.8,57.8,2148,533,24.8,519,13,0,0,0,0,0,1,0,0,14,1,2.6,0.2
Ogemaw,12.8,61.6,1265,118,9.3,116,2,0,0,0,0,0,0,0,0,2,0,1.7,0
Ontonagon,39.1,73.2,291,70,24.1,68,2,0,0,0,0,0,0,0,0,2,0,2.9,0
Osceola,22.6,56.6,1762,269,15.3,255,13,0,0,0,0,0,1,0,0,14,1,5.2,0.4
Oscoda,17.8,62.1,532,46,8.6,45,1,0,0,0,0,0,0,0,0,1,0,2.2,0
Otsego,12.2,50.3,1674,294,17.6,291,3,0,0,0,0,0,0,0,0,3,0,1,0
Ottawa,15.7,45.3,21497,2761,12.8,2651,91,9,5,0,1,1,2,0,0,109,8,3.9,0.3
Presque Isle,21.1,66.3,649,110,16.9,108,2,0,0,0,0,0,0,0,0,2,0,1.8,0
Roscommon,13.1,58.7,1143,238,20.8,237,1,0,0,0,0,0,0,0,0,1,0,0.4,0
Saginaw,28.1,73.1,14304,3714,26,3526,162,5,13,0,2,0,5,0,0,187,20,5,0.5
St Clair,25.8,59.4,11319,2459,21.7,2361,87,4,5,0,1,1,0,0,0,98,6,4,0.2
St Joseph,27.5,65.1,5148,992,19.3,929,52,6,3,0,1,1,0,0,0,63,4,6.4,0.4
Sanilac,30.7,64.6,3053,488,16,469,17,0,0,0,0,0,1,0,1,19,2,3.9,0.4
Schoolcraft,25.5,63.3,491,101,20.6,99,1,1,0,0,0,0,0,0,0,2,0,2,0
Shiawassee,33.9,68.2,4844,1295,26.7,1259,32,2,1,0,1,0,0,0,0,36,2,2.8,0.2
Tuscola,30.2,67.4,3768,720,19.1,693,26,0,1,0,0,0,0,0,0,27,1,3.8,0.1
Van Buren,23.3,58.1,5901,901,15.3,859,30,6,3,1,2,0,0,0,0,42,5,4.7,0.6
Washtenaw,17.2,56.5,23105,2747,11.9,2677,67,0,2,0,0,0,1,0,0,70,3,2.5,0.1
Wayne ex Det,22.6,74.5,78340,19075,24.3,18471,513,26,33,3,15,3,9,0,1,603,58,3.2,0.3
Wexford,23,53.7,2690,346,12.9,339,5,2,0,0,0,0,0,0,0,7,0,2,0
"Detroit, City of",62.2,93.2,62377,27298,43.8,24969,1832,50,259,11,85,6,80,0,4,2327,428,8.5,1.6
MICHIGAN,24.7,64.8,718389,149046,20.7,142258,5734,195,471,35,162,20,146,0,9,6772,788,4.5,0.5