county,percent_pre1950_housing,percent_pre1978_housing,children_1and2_age,total_n,total_percent,capillary_or_venous_less5,capillary_or_venous_5to9,capilary_10to14_total,venous_10to14_total,capilary_15to19_total,venous_15to19_total,capilary_20to44_total,venous_20to44_total,capilary_greater45_total,venous_greater45_total,all_greater5_total,all_greater10_total,all_greater5_percent,all_greater_10_percent
Mackinac,23.4,58.6,169,100,59.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Macomb,9.3,59.1,19109,5991,31.4,5866,111,4,6,1,1,0,1,0,1,125,9,2.1,0.2
Manistee,28.8,63.9,431,174,40.4,166,6,1,1,0,0,0,0,0,0,8,1,4.6,0.6
Marquette,27.9,69.4,1395,424,30.4,401,19,1,2,0,1,0,0,0,0,23,3,5.4,0.7
Mason,32.1,64.6,619,105,17,99,6,0,0,0,0,0,0,0,0,6,0,5.7,0
Mecosta,18.2,53.4,880,237,26.9,230,4,0,2,0,1,0,0,0,0,7,3,3,1.3
Menominee,35.4,73.2,481,228,47.4,216,11,1,0,0,0,0,0,0,0,12,0,5.3,0
Midland,15.2,58.7,1846,349,18.9,341,6,1,1,0,0,0,0,0,0,8,1,2.3,0.3
Missaukee,21.2,56.2,358,104,29.1,104,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,23,59,3400,1358,39.9,1332,24,1,0,0,0,0,1,0,0,26,1,1.9,0.1
Montcalm,27.3,57.7,1567,454,29,441,12,1,0,0,0,0,0,0,0,13,0,2.9,0
Montmorency,18.1,58.6,144,58,40.3,57,1,0,0,0,0,0,0,0,0,1,0,1.7,0
Muskegon,25.8,66.2,4515,1687,37.4,1579,97,3,5,1,0,0,2,0,0,108,7,6.4,0.4
Newaygo,19.3,53.6,1229,425,34.6,416,9,0,0,0,0,0,0,0,0,9,0,2.1,0
Oakland,14.7,60.5,27176,7414,27.3,7276,121,2,9,0,4,0,2,0,0,138,15,1.9,0.2
Oceana,25.8,57.8,706,294,41.6,287,7,0,0,0,0,0,0,0,0,7,0,2.4,0
Ogemaw,12.8,61.6,410,92,22.4,90,2,0,0,0,0,0,0,0,0,2,0,2.2,0
Ontonagon,39.1,73.2,86,56,65.1,54,2,0,0,0,0,0,0,0,0,2,0,3.6,0
Osceola,22.6,56.6,555,225,40.5,213,11,0,0,0,0,0,1,0,0,12,1,5.3,0.4
Oscoda,17.8,62.1,160,24,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego,12.2,50.3,556,175,31.5,172,3,0,0,0,0,0,0,0,0,3,0,1.7,0
Ottawa,15.7,45.3,7028,2264,32.2,2173,76,8,3,0,1,1,1,0,0,90,5,4,0.2
Presque Isle,21.1,66.3,204,82,40.2,80,2,0,0,0,0,0,0,0,0,2,0,2.4,0
Roscommon,13.1,58.7,403,182,45.2,181,1,0,0,0,0,0,0,0,0,1,0,0.5,0
Saginaw,28.1,73.1,4611,2671,57.9,2538,115,3,8,1,2,0,3,0,0,132,13,4.9,0.5
St Clair,25.8,59.4,3618,1219,33.7,1170,43,1,3,0,1,1,0,0,0,49,4,4,0.3
St Joseph,27.5,65.1,1719,540,31.4,497,33,6,3,0,0,1,0,0,0,43,3,8,0.6
Sanilac,30.7,64.6,984,265,26.9,256,8,0,0,0,0,0,1,0,0,9,1,3.4,0.4
Schoolcraft,25.5,63.3,165,76,46.1,74,1,1,0,0,0,0,0,0,0,2,0,2.6,0
Shiawassee,33.9,68.2,1561,782,50.1,760,19,1,1,0,1,0,0,0,0,22,2,2.8,0.3
Tuscola,30.2,67.4,1249,441,35.3,426,14,0,1,0,0,0,0,0,0,15,1,3.4,0.2
Van Buren,23.3,58.1,1888,549,29.1,523,21,3,1,0,1,0,0,0,0,26,2,4.7,0.4
Washtenaw,17.2,56.5,7445,1840,24.7,1779,58,0,2,0,0,0,1,0,0,61,3,3.3,0.2
Wayne ex Det,22.6,74.5,24586,10209,41.5,9890,275,13,12,3,9,1,4,0,1,318,26,3.1,0.3
Wexford,23,53.7,894,235,26.3,233,2,0,0,0,0,0,0,0,0,2,0,0.9,0
"Detroit, City of",62.2,93.2,20749,11303,54.5,10070,957,23,136,8,52,3,50,0,2,NA,240,10.9,2.1
MICHIGAN,24.7,64.8,234410,87973,37.5,83752,NA,116,266,26,103,13,94,0,6,NA,469,4.8,0.5
