,All Blood Samples†,Capillary† Samples,,Venous Samples,,,,,,
48073,441,*,*,0,‐,*,*,*,0,‐
48074,174,7,4,*,*,*,*,*,0,‐
48075,439,*,*,*,*,0,‐,0,0,‐
48076,447,*,*,*,*,*,*,*,0,‐
48078,1,0,‐,0,‐,0,‐,0,0,‐
48079,134,*,*,*,*,0,‐,0,0,‐
48080,313,7,2.2,*,*,*,*,*,0,‐
48081,238,*,*,*,*,*,*,*,0,‐
48082,203,*,*,*,*,0,‐,0,0,‐
48083,271,*,*,*,*,*,*,*,0,‐
48084,253,8,3.2,*,*,6,2.4,*,0,‐
48085,227,*,*,*,*,*,*,*,0,‐
48087,1,0,‐,0,‐,0,‐,0,0,‐
48088,271,*,*,*,*,*,*,*,0,‐
48089,767,15,2,8,1,7,0.9,7,0,‐
48090,3,0,‐,0,‐,0,‐,0,0,‐
48091,700,*,*,*,*,*,*,*,0,‐
48092,425,*,*,0,‐,*,*,*,0,‐
48093,324,*,*,*,*,*,*,*,0,‐
48094,150,*,*,*,*,0,‐,0,0,‐
48095,43,0,‐,0,‐,0,‐,0,0,‐
48096,26,0,‐,0,‐,0,‐,0,0,‐
48097,87,*,*,*,*,*,*,*,0,‐
48098,179,0,‐,0,‐,0,‐,0,0,‐
48099,1,0,‐,0,‐,0,‐,0,0,‐
48101,397,*,*,*,*,*,*,*,0,‐
48103,425,*,*,*,*,*,*,*,0,‐
48104,168,*,*,0,‐,*,*,*,0,‐
48105,218,*,*,0,‐,*,*,*,0,‐
48106,1,0,‐,0,‐,0,‐,0,0,‐
48107,3,0,‐,0,‐,0,‐,0,0,‐
48108,289,0,‐,0,‐,0,‐,0,0,‐
48109,1,0,‐,0,‐,0,‐,0,0,‐
48111,557,7,1.3,*,*,*,*,*,*,*
48112,3,0,‐,0,‐,0,‐,0,0,‐
48113,1,0,‐,0,‐,0,‐,0,0,‐
48114,86,*,*,*,*,*,*,*,0,‐
48116,110,*,*,*,*,*,*,*,0,‐
48117,102,0,‐,0,‐,0,‐,0,0,‐
48118,85,*,*,0,‐,*,*,*,0,‐
48120,369,7,1.9,*,*,6,1.6,*,0,‐
48121,3,0,‐,0,‐,0,‐,0,0,‐
48122,344,8,2.3,*,*,*,*,*,0,‐
48123,3,0,‐,0,‐,0,‐,0,0,‐
48124,461,7,1.5,*,*,*,*,*,0,‐
48125,404,*,*,*,*,*,*,*,0,‐
48126,"1,494",28,1.9,*,*,23,1.5,*,*,*
48127,796,11,1.4,*,*,6,0.8,*,*,*
48128,161,0,‐,0,‐,0,‐,0,0,‐
48129,4,0,‐,0,‐,0,‐,0,0,‐
48130,91,0,‐,0,‐,0,‐,0,0,‐
48131,72,0,‐,0,‐,0,‐,0,0,‐
48133,50,*,*,*,*,0,‐,0,0,‐
48134,311,8,2.6,*,*,*,*,*,0,‐
48135,330,*,*,*,*,*,*,*,0,‐
48136,3,0,‐,0,‐,0,‐,0,0,‐
48137,32,0,‐,0,‐,0,‐,0,0,‐
48138,92,0,‐,0,‐,0,‐,0,0,‐
48140,25,0,‐,0,‐,0,‐,0,0,‐
48141,770,12,1.6,6,0.8,6,0.8,*,*,*
48143,1,0,‐,0,‐,0,‐,0,0,‐
48144,68,*,*,*,*,0,‐,0,0,‐
48145,27,0,‐,0,‐,0,‐,0,0,‐
48146,"1,133",18,1.6,12,1.1,6,0.5,*,0,‐
48149,1,0,‐,0,‐,0,‐,0,0,‐
48150,316,*,*,*,*,0,‐,0,0,‐
48152,368,*,*,*,*,*,*,*,0,‐
48154,375,*,*,*,*,*,*,*,0,‐
48157,13,0,‐,0,‐,0,‐,0,0,‐
48158,51,*,*,*,*,0,‐,0,0,‐
48159,20,0,‐,0,‐,0,‐,0,0,‐
48160,94,*,*,0,‐,*,*,*,*,*
48161,298,9,3,*,*,7,2.3,*,*,*
48162,322,*,*,*,*,*,*,*,*,*
48164,79,0,‐,0,‐,0,‐,0,0,‐
48165,104,0,‐,0,‐,0,‐,0,0,‐
48166,128,0,‐,0,‐,0,‐,0,0,‐
48167,197,*,*,*,*,0,‐,0,0,‐
48168,115,*,*,*,*,*,*,*,0,‐
48169,85,0,‐,0,‐,0,‐,0,0,‐
48170,218,0,‐,0,‐,0,‐,0,0,‐
48173,153,*,*,*,*,*,*,*,0,‐
48174,616,8,1.3,6,1,*,*,*,0,‐
48175,1,0,‐,0,‐,0,‐,0,0,‐
48176,121,0,‐,0,‐,0,‐,0,0,‐
48177,2,0,‐,0,‐,0,‐,0,0,‐
48178,276,*,*,*,*,*,*,*,0,‐
48179,30,*,*,*,*,0,‐,0,0,‐
48180,"1,524",20,1.3,13,0.9,7,0.5,*,*,*
48181,1,0,‐,0,‐,0,‐,0,0,‐
48182,161,*,*,0,‐,*,*,*,*,*
48183,544,10,1.8,8,1.5,*,*,*,0,‐
48184,295,*,*,*,*,*,*,*,0,‐
48185,876,11,1.3,6,0.7,*,*,*,0,‐
48186,638,*,*,*,*,*,*,*,0,‐
48187,542,9,1.7,*,*,7,1.3,7,0,‐
48188,461,7,1.5,*,*,*,*,*,0,‐
48189,93,0,‐,0,‐,0,‐,0,0,‐
48190,7,0,‐,0,‐,0,‐,0,0,‐
48191,26,0,‐,0,‐,0,‐,0,0,‐
48192,384,8,2.1,7,1.8,*,*,*,0,‐
48193,253,*,*,*,*,*,*,*,*,*
48194,3,0,‐,0,‐,0,‐,0,0,‐
48195,506,9,1.8,8,1.6,*,*,*,0,‐
48197,848,13,1.5,7,0.8,6,0.7,*,0,‐
48198,695,8,1.2,*,*,*,*,*,0,‐
48201,400,21,5.3,11,2.8,10,2.5,10,0,‐
48202,448,73,16.3,30,6.7,43,9.6,*,*,*
48203,754,92,12.2,31,4.1,61,8.1,52,9,1.2
48204,833,126,15.1,39,4.7,87,10.4,78,9,1.1
48205,"1,431",125,8.7,23,1.6,102,7.1,95,7,0.5
48206,686,153,22.3,64,9.3,89,13,74,15,2.2
48207,521,41,7.9,8,1.5,33,6.3,26,7,1.3
48208,276,30,10.9,8,2.9,22,8,22,0,‐
48209,"1,449",94,6.5,20,1.4,74,5.1,68,6,0.4
48210,"1,548",148,9.6,28,1.8,120,7.8,106,14,0.9
48211,284,34,12,7,2.5,27,9.5,*,*,*
48212,"1,731",168,9.7,55,3.2,113,6.5,107,6,0.3
48213,802,109,13.6,21,2.6,88,11,81,7,0.9
48214,571,94,16.5,16,2.8,78,13.7,68,10,1.8
48215,378,51,13.5,11,2.9,40,10.6,33,7,1.9
48216,129,8,6.2,*,*,*,*,*,0,‐
48217,183,*,*,*,*,*,*,*,0,‐
48218,268,10,3.7,*,*,6,2.2,*,*,*
48219,"1,513",72,4.8,31,2,41,2.7,35,6,0.4
48220,307,*,*,*,*,*,*,*,0,‐
48221,"1,102",85,7.7,34,3.1,51,4.6,*,*,*
48222,2,*,*,0,‐,*,*,*,0,‐
48223,748,28,3.7,14,1.9,14,1.9,*,*,*
48224,"1,550",101,6.5,31,2,70,4.5,62,8,0.5
48225,346,9,2.6,*,*,6,1.7,*,*,*
48226,49,*,*,*,*,0,‐,0,0,‐
48227,"1,440",124,8.6,44,3.1,80,5.6,74,6,0.4
48228,"2,362",118,5,53,2.2,65,2.8,57,8,0.3
48229,273,9,3.3,*,*,*,*,*,*,*
48230,204,15,7.4,12,5.9,*,*,*,0,‐
48231,3,0,‐,0,‐,0,‐,0,0,‐
48232,2,0,‐,0,‐,0,‐,0,0,‐
48233,1,0,‐,0,‐,0,‐,0,0,‐
48234,"1,247",87,7,41,3.3,46,3.7,*,*,*
48235,"1,397",69,4.9,29,2.1,40,2.9,*,*,*
48236,338,12,3.6,8,2.4,*,*,*,0,‐
48237,625,7,1.1,*,*,*,*,*,0,‐
48238,"1,038",140,13.5,66,6.4,74,7.1,*,*,*
48239,757,10,1.3,6,0.8,*,*,*,0,‐
48240,394,8,2,*,*,*,*,*,0,‐
48241,1,0,‐,0,‐,0,‐,0,0,‐
48242,1,0,‐,0,‐,0,‐,0,0,‐
48244,2,0,‐,0,‐,0,‐,0,0,‐
48254,1,0,‐,0,‐,0,‐,0,0,‐
48266,2,0,‐,0,‐,0,‐,0,0,‐
48267,1,0,‐,0,‐,0,‐,0,0,‐
48269,2,0,‐,0,‐,0,‐,0,0,‐
48270,1,0,‐,0,‐,0,‐,0,0,‐
48277,3,0,‐,0,‐,0,‐,0,0,‐
48278,2,*,*,*,*,0,‐,0,0,‐
48288,2,0,‐,0,‐,0,‐,0,0,‐
48301,105,*,*,*,*,0,‐,0,0,‐
48302,114,0,‐,0,‐,0,‐,0,0,‐
48303,1,0,‐,0,‐,0,‐,0,0,‐
48304,160,*,*,*,*,*,*,*,0,‐
48306,132,*,*,*,*,0,‐,0,0,‐
48307,336,*,*,*,*,*,*,*,0,‐
48308,1,0,‐,0,‐,0,‐,0,0,‐
48309,182,0,‐,0,‐,0,‐,0,0,‐
48310,773,*,*,*,*,*,*,*,0,‐
48312,444,*,*,*,*,*,*,*,0,‐
48313,433,*,*,0,‐,*,*,*,0,‐
48314,262,*,*,*,*,0,‐,0,0,‐
48315,201,*,*,*,*,*,*,*,0,‐
48316,193,0,‐,0,‐,0,‐,0,0,‐
48317,397,*,*,*,*,0,‐,0,0,‐
48320,52,0,‐,0,‐,0,‐,0,0,‐
48321,2,0,‐,0,‐,0,‐,0,0,‐
48322,312,*,*,*,*,0,‐,0,0,‐
48323,172,0,‐,0,‐,0,‐,0,0,‐
48324,148,0,‐,0,‐,0,‐,0,0,‐
48325,2,0,‐,0,‐,0,‐,0,0,‐
48326,258,8,3.1,*,*,*,*,*,*,*
48327,238,0,‐,0,‐,0,‐,0,0,‐
48328,347,*,*,*,*,*,*,*,0,‐
48329,229,*,*,*,*,*,*,*,0,‐
48331,225,*,*,0,‐,*,*,*,0,‐
48332,2,0,‐,0,‐,0,‐,0,0,‐
48333,4,0,‐,0,‐,0,‐,0,0,‐
48334,219,*,*,0,‐,*,*,*,0,‐
48335,538,26,4.8,7,1.3,19,3.5,*,*,*
48336,386,7,1.8,7,1.8,0,‐,0,0,‐
48337,1,0,‐,0,‐,0,‐,0,0,‐
48340,768,14,1.8,10,1.3,*,*,*,0,‐
48341,355,16,4.5,*,*,11,3.1,11,0,‐
48342,606,17,2.8,14,2.3,*,*,*,*,*
48343,2,0,‐,0,‐,0,‐,0,0,‐
48346,246,*,*,0,‐,*,*,*,0,‐
48347,2,0,‐,0,‐,0,‐,0,0,‐
48348,288,*,*,*,*,0,‐,0,0,‐
48350,75,0,‐,0,‐,0,‐,0,0,‐
48351,2,0,‐,0,‐,0,‐,0,0,‐
48353,37,0,‐,0,‐,0,‐,0,0,‐
48355,1,0,‐,0,‐,0,‐,0,0,‐
48356,49,0,‐,0,‐,0,‐,0,0,‐
48357,57,0,‐,0,‐,0,‐,0,0,‐
48359,104,0,‐,0,‐,0,‐,0,0,‐
48360,115,*,*,*,*,0,‐,0,0,‐
48361,1,0,‐,0,‐,0,‐,0,0,‐
48362,142,*,*,*,*,0,‐,0,0,‐
48363,48,*,*,*,*,0,‐,0,0,‐
48365,1,0,‐,0,‐,0,‐,0,0,‐
48367,23,0,‐,0,‐,0,‐,0,0,‐
48370,12,0,‐,0,‐,0,‐,0,0,‐
48371,198,0,‐,0,‐,0,‐,0,0,‐
48374,177,*,*,0,‐,*,*,*,0,‐
48375,271,*,*,*,*,*,*,*,0,‐
48376,3,0,‐,0,‐,0,‐,0,0,‐
48377,239,8,3.3,*,*,*,*,*,*,*
48380,45,0,‐,0,‐,0,‐,0,0,‐
48381,124,0,‐,0,‐,0,‐,0,0,‐
48382,233,*,*,*,*,0,‐,0,0,‐
48383,156,0,‐,0,‐,0,‐,0,0,‐
48384,1,0,‐,0,‐,0,‐,0,0,‐
48386,169,*,*,*,*,*,*,*,0,‐
48390,298,*,*,*,*,0,‐,0,0,‐
48393,261,*,*,*,*,0,‐,0,0,‐
48401,6,0,‐,0,‐,0,‐,0,0,‐
48403,1,0,‐,0,‐,0,‐,0,0,‐
48411,5,*,*,0,‐,*,*,*,0,‐
48412,58,*,*,*,*,0,‐,0,0,‐
48413,114,*,*,*,*,*,*,*,0,‐
48414,46,0,‐,0,‐,0,‐,0,0,‐
48415,112,*,*,0,‐,*,*,*,0,‐
48416,40,*,*,*,*,0,‐,0,0,‐
48417,43,*,*,*,*,0,‐,0,0,‐
48418,53,*,*,0,‐,*,*,*,0,‐
48419,21,0,‐,0,‐,0,‐,0,0,‐
48420,337,*,*,0,‐,*,*,*,0,‐
48421,79,0,‐,0,‐,0,‐,0,0,‐
48422,52,*,*,*,*,*,*,*,0,‐
48423,515,*,*,*,*,*,*,*,0,‐
48424,1,0,‐,0,‐,0,‐,0,0,‐
48426,10,0,‐,0,‐,0,‐,0,0,‐
48427,17,0,‐,0,‐,0,‐,0,0,‐
48428,30,*,*,*,*,*,*,*,0,‐
48429,144,*,*,*,*,*,*,*,0,‐
48430,429,*,*,*,*,*,*,*,0,‐
48431,1,0,‐,0,‐,0,‐,0,0,‐
48432,15,0,‐,0,‐,0,‐,0,0,‐
48433,407,*,*,*,*,*,*,*,0,‐
48435,25,*,*,0,‐,*,*,*,0,‐
48436,42,0,‐,0,‐,0,‐,0,0,‐
48437,2,0,‐,0,‐,0,‐,0,0,‐
48438,70,0,‐,0,‐,0,‐,0,0,‐
48439,746,6,0.8,*,*,*,*,*,0,‐
48440,2,0,‐,0,‐,0,‐,0,0,‐
48441,48,0,‐,0,‐,0,‐,0,0,‐
48442,235,*,*,*,*,*,*,*,0,‐
48444,134,*,*,*,*,*,*,*,*,*
48445,25,0,‐,0,‐,0,‐,0,0,‐
48446,378,15,4,13,3.4,*,*,*,0,‐
48449,71,0,‐,0,‐,0,‐,0,0,‐
48450,28,0,‐,0,‐,0,‐,0,0,‐
48451,137,*,*,*,*,*,*,*,0,‐
48452,1,0,‐,0,‐,0,‐,0,0,‐
48453,62,*,*,0,‐,*,*,*,0,‐
48454,8,0,‐,0,‐,0,‐,0,0,‐
48455,73,*,*,*,*,*,*,*,0,‐
48456,9,0,‐,0,‐,0,‐,0,0,‐
48457,137,0,‐,0,‐,0,‐,0,0,‐
48458,567,*,*,*,*,*,*,*,0,‐
48460,33,0,‐,0,‐,0,‐,0,0,‐
48461,119,*,*,*,*,0,‐,0,0,‐
48462,126,0,‐,0,‐,0,‐,0,0,‐
48463,55,0,‐,0,‐,0,‐,0,0,‐
48464,23,*,*,*,*,*,*,*,0,‐
48465,4,*,*,*,*,0,‐,0,0,‐
48466,15,*,*,*,*,0,‐,0,0,‐
48467,26,0,‐,0,‐,0,‐,0,0,‐
48468,5,0,‐,0,‐,0,‐,0,0,‐
48469,7,0,‐,0,‐,0,‐,0,0,‐
48470,5,0,‐,0,‐,0,‐,0,0,‐
48471,49,*,*,*,*,0,‐,0,0,‐
48472,14,*,*,*,*,0,‐,0,0,‐
48473,296,*,*,*,*,0,‐,0,0,‐
48475,17,0,‐,0,‐,0,‐,0,0,‐
48476,9,0,‐,0,‐,0,‐,0,0,‐
48501,10,*,*,*,*,0,‐,0,0,‐
48502,52,*,*,0,‐,*,*,*,0,‐
48503,"1,241",49,3.9,8,0.6,41,3.3,29,12,1
48504,"1,384",37,2.7,7,0.5,30,2.2,*,*,*
48505,"1,282",39,3,11,0.9,28,2.2,*,*,*
48506,"1,201",26,2.2,9,0.7,17,1.4,*,*,*
48507,"1,471",18,1.2,7,0.5,11,0.7,*,*,*
48508,1,0,‐,0,‐,0,‐,0,0,‐
48509,157,0,‐,0,‐,0,‐,0,0,‐
48512,1,0,‐,0,‐,0,‐,0,0,‐
48519,170,*,*,*,*,0,‐,0,0,‐
48523,1,0,‐,0,‐,0,‐,0,0,‐
48529,371,7,1.9,6,1.6,*,*,*,0,‐
48531,4,0,‐,0,‐,0,‐,0,0,‐
48532,723,6,0.8,*,*,*,*,*,0,‐
48534,1,0,‐,0,‐,0,‐,0,0,‐
48539,1,0,‐,0,‐,0,‐,0,0,‐
48601,"1,080",33,3.1,23,2.1,10,0.9,*,*,*
48602,731,42,5.7,30,4.1,12,1.6,12,0,‐
48603,379,*,*,*,*,0,‐,0,0,‐
48604,173,*,*,*,*,0,‐,0,0,‐
48605,3,0,‐,0,‐,0,‐,0,0,‐
48607,33,*,*,0,‐,*,*,*,*,*
48609,113,0,‐,0,‐,0,‐,0,0,‐
48610,57,*,*,*,*,0,‐,0,0,‐
48611,57,*,*,*,*,*,*,*,0,‐
48612,108,*,*,*,*,0,‐,0,0,‐
48613,15,0,‐,0,‐,0,‐,0,0,‐
48614,12,0,‐,0,‐,0,‐,0,0,‐
48615,42,0,‐,0,‐,0,‐,0,0,‐
48616,115,*,*,*,*,0,‐,0,0,‐
48617,103,*,*,*,*,0,‐,0,0,‐
48618,36,0,‐,0,‐,0,‐,0,0,‐
48619,2,0,‐,0,‐,0,‐,0,0,‐
48621,15,*,*,*,*,0,‐,0,0,‐
48622,78,0,‐,0,‐,0,‐,0,0,‐
48623,134,0,‐,0,‐,0,‐,0,0,‐
48624,203,*,*,0,‐,*,*,*,0,‐
48625,170,*,*,*,*,*,*,*,0,‐
48626,56,*,*,*,*,0,‐,0,0,‐
48627,1,0,‐,0,‐,0,‐,0,0,‐
48628,12,0,‐,0,‐,0,‐,0,0,‐
48629,64,0,‐,0,‐,0,‐,0,0,‐
48630,1,0,‐,0,‐,0,‐,0,0,‐
48631,62,0,‐,0,‐,0,‐,0,0,‐
48632,40,*,*,*,*,0,‐,0,0,‐
48633,3,*,*,0,‐,*,*,*,0,‐
48634,34,0,‐,0,‐,0,‐,0,0,‐
48635,11,0,‐,0,‐,0,‐,0,0,‐
48636,12,0,‐,0,‐,0,‐,0,0,‐
48637,37,*,*,*,*,0,‐,0,0,‐
48638,199,*,*,*,*,0,‐,0,0,‐
48640,191,*,*,0,‐,*,*,*,0,‐
48641,1,0,‐,0,‐,0,‐,0,0,‐
48642,207,*,*,*,*,0,‐,0,0,‐
48647,70,*,*,*,*,0,‐,0,0,‐
48649,19,0,‐,0,‐,0,‐,0,0,‐
48650,94,0,‐,0,‐,0,‐,0,0,‐
48651,38,0,‐,0,‐,0,‐,0,0,‐
48652,13,0,‐,0,‐,0,‐,0,0,‐
48653,50,0,‐,0,‐,0,‐,0,0,‐
48654,25,0,‐,0,‐,0,‐,0,0,‐
48655,85,*,*,*,*,0,‐,0,0,‐
48656,30,0,‐,0,‐,0,‐,0,0,‐
48657,41,0,‐,0,‐,0,‐,0,0,‐
48658,93,*,*,0,‐,*,*,*,0,‐
48659,64,*,*,*,*,0,‐,0,0,‐
48660,1,0,‐,0,‐,0,‐,0,0,‐
48661,124,*,*,*,*,0,‐,0,0,‐
48662,13,*,*,*,*,0,‐,0,0,‐
48701,20,0,‐,0,‐,0,‐,0,0,‐
48703,33,0,‐,0,‐,0,‐,0,0,‐
48705,3,0,‐,0,‐,0,‐,0,0,‐
48706,542,9,1.7,6,1.1,*,*,*,0,‐
48707,1,0,‐,0,‐,0,‐,0,0,‐
48708,484,38,7.9,27,5.6,11,2.3,11,0,‐
48720,12,*,*,*,*,0,‐,0,0,‐
48721,4,0,‐,0,‐,0,‐,0,0,‐
48722,44,*,*,*,*,0,‐,0,0,‐
48723,201,*,*,*,*,*,*,*,0,‐
48724,5,0,‐,0,‐,0,‐,0,0,‐
48725,14,0,‐,0,‐,0,‐,0,0,‐
48726,101,*,*,0,‐,*,*,*,0,‐
48727,21,0,‐,0,‐,0,‐,0,0,‐
48728,3,0,‐,0,‐,0,‐,0,0,‐
48729,16,0,‐,0,‐,0,‐,0,0,‐
48730,34,*,*,*,*,0,‐,0,0,‐
48731,24,0,‐,0,‐,0,‐,0,0,‐
48732,166,*,*,0,‐,*,*,*,0,‐
48733,29,*,*,*,*,0,‐,0,0,‐
48734,72,0,‐,0,‐,0,‐,0,0,‐
48735,20,*,*,*,*,0,‐,0,0,‐
48737,8,0,‐,0,‐,0,‐,0,0,‐
48738,9,*,*,*,*,0,‐,0,0,‐
48739,30,*,*,*,*,*,*,*,0,‐
48740,20,*,*,0,‐,*,*,*,0,‐
48741,37,0,‐,0,‐,0,‐,0,0,‐
48742,13,*,*,*,*,0,‐,0,0,‐
48744,97,*,*,*,*,0,‐,0,0,‐
48745,17,0,‐,0,‐,0,‐,0,0,‐
48746,126,*,*,0,‐,*,*,*,0,‐
48747,11,0,‐,0,‐,0,‐,0,0,‐
48748,16,*,*,*,*,0,‐,0,0,‐
48749,21,0,‐,0,‐,0,‐,0,0,‐
48750,114,*,*,*,*,*,*,*,*,*
48754,19,0,‐,0,‐,0,‐,0,0,‐
48755,31,*,*,0,‐,*,*,*,0,‐
48756,68,0,‐,0,‐,0,‐,0,0,‐
48757,46,0,‐,0,‐,0,‐,0,0,‐
48758,1,0,‐,0,‐,0,‐,0,0,‐
48759,49,0,‐,0,‐,0,‐,0,0,‐
48760,19,*,*,*,*,0,‐,0,0,‐
48761,2,0,‐,0,‐,0,‐,0,0,‐
48762,15,0,‐,0,‐,0,‐,0,0,‐
48763,52,*,*,*,*,0,‐,0,0,‐
48764,1,0,‐,0,‐,0,‐,0,0,‐
48765,7,0,‐,0,‐,0,‐,0,0,‐
48766,28,0,‐,0,‐,0,‐,0,0,‐
48767,23,*,*,0,‐,*,*,*,0,‐
48768,181,*,*,*,*,*,*,*,0,‐
48770,19,*,*,*,*,0,‐,0,0,‐
48801,174,*,*,*,*,0,‐,0,0,‐
48803,1,0,‐,0,‐,0,‐,0,0,‐
48804,3,0,‐,0,‐,0,‐,0,0,‐
48805,3,0,‐,0,‐,0,‐,0,0,‐
48806,19,*,*,*,*,0,‐,0,0,‐
48807,14,0,‐,0,‐,0,‐,0,0,‐
48808,59,0,‐,0,‐,0,‐,0,0,‐
48809,193,7,3.6,*,*,*,*,*,0,‐
48811,46,*,*,*,*,0,‐,0,0,‐
48812,1,*,*,0,‐,*,*,*,0,‐
48813,221,*,*,0,‐,*,*,*,0,‐
48815,33,*,*,0,‐,*,*,*,*,*
48816,1,0,‐,0,‐,0,‐,0,0,‐
48817,130,*,*,0,‐,*,*,*,0,‐
48818,36,0,‐,0,‐,0,‐,0,0,‐
48819,22,0,‐,0,‐,0,‐,0,0,‐
48820,121,0,‐,0,‐,0,‐,0,0,‐
48821,31,0,‐,0,‐,0,‐,0,0,‐
48822,16,0,‐,0,‐,0,‐,0,0,‐
48823,393,6,1.5,*,*,*,*,*,0,‐
48824,2,0,‐,0,‐,0,‐,0,0,‐
48825,1,0,‐,0,‐,0,‐,0,0,‐
48827,150,*,*,*,*,0,‐,0,0,‐
48829,45,*,*,*,*,0,‐,0,0,‐
48830,1,0,‐,0,‐,0,‐,0,0,‐
48831,58,*,*,0,‐,*,*,*,0,‐
48832,13,0,‐,0,‐,0,‐,0,0,‐
48834,35,0,‐,0,‐,0,‐,0,0,‐
48835,22,0,‐,0,‐,0,‐,0,0,‐
48836,104,*,*,0,‐,*,*,*,0,‐
48837,140,*,*,0,‐,*,*,*,0,‐
48838,252,6,2.4,*,*,*,*,*,*,*
48840,123,0,‐,0,‐,0,‐,0,0,‐
48841,12,*,*,0,‐,*,*,*,0,‐
48842,250,*,*,*,*,*,*,*,0,‐
48843,252,*,*,*,*,*,*,*,*,*
48845,19,0,‐,0,‐,0,‐,0,0,‐
48846,320,7,2.2,*,*,*,*,*,*,*
48847,91,*,*,0,‐,*,*,*,0,‐
48848,89,*,*,0,‐,*,*,*,0,‐
48849,79,*,*,0,‐,*,*,*,0,‐
48850,53,*,*,0,‐,*,*,*,0,‐
48851,44,*,*,*,*,*,*,*,0,‐
48853,11,0,‐,0,‐,0,‐,0,0,‐
48854,226,*,*,*,*,*,*,*,0,‐
48855,79,*,*,*,*,0,‐,0,0,‐
48856,13,*,*,*,*,0,‐,0,0,‐
48857,41,*,*,*,*,0,‐,0,0,‐
48858,409,*,*,*,*,*,*,*,0,‐
48860,34,*,*,*,*,0,‐,0,0,‐
48861,11,*,*,*,*,0,‐,0,0,‐
48862,2,0,‐,0,‐,0,‐,0,0,‐
